127.0.0.1 - - [11/May/2015:05:15:33 +0700] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "GET /sad_spring_maven_restful/license HTTP/1.1" 200 150
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 179
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 182
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 183
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 181
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 186
127.0.0.1 - - [11/May/2015:05:16:23 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 185
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 185
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 181
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 182
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 188
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 182
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 180
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 180
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 179
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 179
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 172
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 172
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 178
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/licenses HTTP/1.1" 201 174
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "GET /sad_spring_maven_restful/violation HTTP/1.1" 200 631
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/violations HTTP/1.1" 201 632
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/violations HTTP/1.1" 201 632
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/violations HTTP/1.1" 201 632
127.0.0.1 - - [11/May/2015:05:16:24 +0700] "POST /sad_spring_maven_restful/violations HTTP/1.1" 201 632
